orth,pron_no_tones
ទ្វាទសមាស,tvieteaʔsaʔmieh
មួង,muəŋ
លំដាប់,lumdap
បណ្ដុំ,bɑndom
ស្ថានីយ,stʰaanii
ប្រៃសណីយបត្រ,praysaʔniibat
សមានចិត្ត,saʔmaaneaʔcǝt
បន្ថែម,bɑntʰaem
ជម្ពូទ្វីប,cumpuu tviip
ហត្ថី,hattʰǝy
ទស្សនវិស័យ,tʊəhsaʔneaʔviʔsay
អយុធ្យា,ʔaʔyutyie
គគ្រិច,kɔkrɨc
ជតា,ceaʔtaa
ក្រជីង,krɑciiŋ
លំហើយ,lumhaǝy
ទ័ព,toap
សង្កថា,saŋkaʔtʰaa
ភ្ជុំបិណ្ឌ,pcum-ben
ធ្មេញ,tmɨɲ
ថ្នាក់,tnak
ក្លែង,klaeŋ
កន្ទួល,kɑntuəl
ឧកាស,ʔuʔkaasaʔ
ហិត,hǝt
សំណូក,sɑmnook
រោស,roosaʔ
ទេសន្តរប្រវេសន៍,teesantaʔreaʔprɑveeh
ទំនុកបំរុង,tumnuk bɑmroŋ
អម្រា,ʔɑmraa
លិខិតឆ្លងដែន,liʔkʰət clɑɑŋ daen
អម្បាល,ʔɑmbaal
ទេវរូប,teeveaʔruup
ផគ្គុណ,pʰakkun
ស្រក់,srak
ជាម,ciem
បង្កូក,bɑŋkook
ស្លក់,slak
កំបាក់,kɑmbak
បៀម,biəm
អត្តភាព,ʔattaʔpʰiep
នារាយណ៍,nieriey
ល្អក់,lʔak
អានុភាព,ʔaanuʔpʰiep
ល្មួត,lmuǝt
កណ្ដៀង,kɑndiəŋ
សម្បួរ,sɑmbuə
បរិបូរណ៍,bɑɑreʔboo
ភទ្របទ,pʰoattreaʔbɑt
សំណល់,sɑmnɑl
ភារកិច្ច,pʰiereaʔkəc
ភគវន្តមុនី,pʰeaʔkeaʔvoantaʔmuʔnii
ត្រដែត,trɑdaet
តុណ្ហីភាព,tonhəypʰiep
ត្រដុស,trɑdoh
អំមិញ,ʔɑmmǝɲ
អនោតត្ត,ʔaʔnaotat
ធម្មាធិបតេយ្យ,tʰoammietʰiʔpaʔtay
ប្រចក្ស,prɑcak
អង្ករ,ʔɑŋkɑɑ
ហត្ថ,hat
អាក់,ʔak
នប,nɔɔp
ស្ទោក,stook
បែក,baek
ធ្លាប់,tloap
ទ្រាំទ្រ,troam-trɔɔ
នព្វន្ត,nuppʊən
រដ្ឋមន្ត្រី,roattʰaʔmʊəntrəy
តោ,tao
បំណាច់,bɑmnac
រលាត,rɔliet
វ៉េ,veɛ
គប់,kup
ហែង,haeŋ
សារុង,saaroŋ
រូបិយប័ណ្ណ,ruupəyyeaʔban
ឧបសម្ប័ទ,ʔuʔpaʔsɑmbat
បីតិ,pəyteʔ
អនេក,ʔaʔnaek
ស្គម,skɔɔm
អប្សរ,ʔapsɑɑ
បន្ទើរ,bɑntəə
ទ្រនិច,trɔnɨc
ក្រហម,krɑhɑɑm
ផ្សែផ្សំ,psae-psɑm
ភ្លឹប,plɨp
តុក្កតា,tokkaʔtaa
ទំពួន,tumpuən
ម្ហូប,mhoop
ស្នា,snaa
រលីង,rɔliiŋ
កំរង,kɑmrɑɑŋ
ថ្លៃ,tlay
ជ្រុះ,cruh
ក្រយៅ,krɑyav
ខ្សាន,ksaan
ស៊ឹង,sɨŋ
ឆ្វង់,cvɑŋ
លន,lɔɔn
ស្ដេចត្រាញ់,sdac traɲ
វុន,vun
ទុច្ចរិត,tuccaʔrit
អត់,ʔɑt
ភាតា,pʰietaa
ទីទុយ,tiituy
សម្រាក,sɑmraak
រឹះ,rɨh
ផុត,pʰot
ធូប,tʰuup
ប្រដំ,prɑdɑm
កប្ប,kap
បុព្វកម្ម,boppeaʔkam
អនាថា,ʔaʔnaatʰaa
យុទ្ធសាស្ត្រ,yuttʰeaʔsaah
ហើម,haǝm
ប្រកាច់,prɑkac
លៀង,liǝŋ
ភាពគ្រោតគ្រាត,pʰiep kroot-kriet
អាល័យតែ,ʔaalay tae
ព្រុស,pruh
បន្ទារ,bɑntie
ថ្វែ,tvae
គណៈកម្មាធិការ,keaʔnaʔkammaatʰiʔkaa
អតិមូល,ʔaʔteʔmuul
លីវ,liiv
ថ្វាត់,tvat
សុភា,soʔpʰie
ឧបយុវរាជ,ʔuʔpaʔyuʔveaʔriec
ចង្កេះ,cɑŋkeh
អុងម៉ុង្គ,ʔoŋ-moŋ
ស្ទើត,stǝǝt
ឧទរ,ʔuʔtɔɔ
ធំ,tʰom
ក្រោម,kraom
ដួស,duəh
បង្កើច,bɑŋkaəc
ជំនាញ,cumnieɲ
បាយអ,baay ʔɑɑ
វេទនា,veeteaʔnie
ណាយ,naay
ឆាវ,cʰaav
លន្លង់,lʊənlʊəŋ
អ្ហា,ʔhaa
បញ្ឈប់,bɑɲcʰup
ឡាក,laak
រ៉ៃ,ray
ពុទ្ធវចនៈ,puttʰeaʔvaccaʔnaʔ
ផែនការ,pʰaenkaa
វៀន,viən
ឈើច្រត់,cʰəə crɑt
រន្ថាន់,rʊəntʰan
ចុល្លភាព,collaʔpʰiep
ច្រាន,craan
អកយំ,ʔɑɑk yum
ផ្ដុំ,pdom
ដង្កាប់,dɑŋkap
ដំបូន្មាន,dɑmboon mien
ស្ថានភាព,stʰaanpʰiep
ក្រអៅ,krɑʔav
ចាយ,caay
បំផ្លិច,bɑmpləc
បង្ហាញ,bɑŋhaaɲ
ឥឡូវ,ʔləv
របប,rɔbɑɑp
មុម,mum
ក្លោង,klaoŋ
ប្រោះ,prɑh
អ័ក្ស,ʔak
ហុង,hoŋ
ឡាំ,lam
យើ,yəə
ស្វាស,svaah
មិន,mɨn
បញ្ចេញ,bɑɲcəɲ
កាលានុវត្តន៍,kaalaanuʔvoat
កាតូលិក,kaatoolik
អាស័យ,ʔaasay
រូពី,ruupii
ស្ដា,staa
ស្គរ,skɔɔ
ពីព្រោះ,pii prʊəh
សំពង,sɑmpɔɔŋ
បង្ខាំង,bɑŋkʰaŋ
ព័ន្ធ,poan
ផ្ទៃ,ptey
បន្លឺ,bɑnləə
សរីរាង្គ,saʔrəyrieŋ
ចាមរី,caameaʔrii
ពរ,pɔɔ
ជោក,cook
សមានការ,saʔmaaneaʔkaa
បក្ខសម្ព័ន្ធ,paksɑmpoan
ចំរេះ,cɑmreh
រង្វាល់,rʊəŋvoal
គីត,kiitaʔ
ថ្នាំងថ្នាក់,tnaŋ-tnak
រកា,rɔkaa
លោក,look
ក្អែល,kʔael
វាវ,viev
សិទ្ធ,set
អនាគត,ʔaʔnaakʊət
ត្រុយ,troy
សើយ,saǝy
នគរបាល,nɔkɔɔbaal
សមភាព,saʔmaʔpʰiep
សុរ,soʔraʔ
បរិមណ្ឌល,paʔreʔmʊəndʊəl
ប្រាកដ,praakɑat
សំរោង,sɑmraoŋ
អត្តនោម័តិ,ʔattaʔnaomat
ពូថៅ,puu tʰav
ក្រៀល,kriəl
កាំភ្លើង,kampləəŋ
ប្រគ្រីវ,prɑkriiv
ការពិត,kaapit
ធ្នាប់,tnoap
រំជួលចិត្ត,rumcuəl cət
អភិ,ʔaʔpʰiʔ
ភ្ជួរ,pcuə
ពីសម័យ,pihsaʔmay
បណ្ណាការ,bannaakaa
កំពប់,kɑmpup
សួង,suǝŋ
និវេទន៍,niʔveet
ស្រួច,sruǝc
កិរិយាសព្ទ,keʔriʔyaasap
បុរី,boʔrəy
ចេស្ដា,ceɛhsdaa
ល្វត,lvɔɔt
ក្រឲ្យ,krɑʔav
បាស,baah
ទម្រង់ការ,tumrʊəŋ kaa
អមាត្យ,ʔaʔmaat
គណៈ,keaʔnaʔ
សាយ,saay
បារម្ភ,baarɑm
នឹង,nɨŋ
ទស្សនាទាន,tʊəhsaʔnaatien
កំពស់,kɑmpʊəh
ឡាំង,laŋ
មេខលា,meekʰaʔlaa
គូក,kuuk
តប់ប្រមល់,tɑp prɑmɑl
មីន,miin
ឡាយ,laay
អភ័ព្វ,ʔaʔpʰoap
វិវឌ្ឍ,viʔvoat
សន្លឹង,sɑnləŋ
ត្រីមាស,trəy mieh
បបោសអង្អែល,bɑbɑhʔɑŋʔael
បញ្ចក្ខន្ធ,paɲcakkʰan
ទន្ទឹម,tʊətɨm
ត្រដឹម,trɑdəm
២,2
ត្រាំ,tram
គុយទាវ,kuy tiev
រៀបរៀង,riəp-riəŋ
រនះ,rɔneah
ភ្លឹបភ្លែត,plɨp-plɛɛt
ធម្មការ,tʰoammeaʔkaa
អនន្ត,ʔaʔnɑn
លោ,loo
ហិប,hǝp
ខ្លាច,klaac
សុចរិត,soʔcaʔrɨt
សាមញ្ញ,saamaɲɲeaʔ
រត,rɔɔt
បីដូច,bəy dooc
ស្ដន,sdɑn
បុរិន្ទ,boʔrin
ព្រូន,pruun
ដាច,daac
សឺ,sǝǝ
ជលយាន,ceaʔleaʔyien
មែន,mɛɛn
សើន,saǝn
រូស,ruuh
មេអំបៅ,mee ʔɑmbav
កន្សែង,kɑnsaeŋ
ពន្ឋនាគារ,poantʰeaʔniekie
ឆ្កូត,ckoot
ចំអេង,cɑmʔeɛŋ
ធាន,tʰien
កាឡា,kaalaa
ម្នាស់,mnoah
ស្មោកគ្រោក,smaok-krook
ច្រាង,craaŋ
ក្រាប,kraap
បារាំង,baaraŋ
រៀបចំ,riəp cɑm
ព្រឹទ្ធាចារ្យ,prɨttʰiecaa
គក,kɔɔk
សិវៈ,seʔvaʔ
រណ្ដាប់,rʊəndap
ស្នងការ,snɑɑŋ kaa
ភោក្តា,pʰookdaa
ស្មើ,smaǝ
ភោជនាគារ,pʰooceaʔniekie
ក្លាយ,klaay
កំប្លង់,kɑmplɑŋ
ទ្រមម,trɔmɔɔm
ស្មារតី,smaadǝy
ញ៉ម,ɲɑɑm
អូស,ʔooh
ប្រលោមលោក,prɑlaom look
ប្រសិទ្ធិភាព,prɑsettʰiʔpʰiep
បណ្ដេញ,bɑndəɲ
គ្រប់គ្រង,krup-krɔɔŋ
បន្ទាយមាស,bɑntiey mieh
រៀប,riəp
គោចរ,koocɑɑ
ចុង,coŋ
កណិការ,kaʔneʔkaa
ភេទ,pʰeet
ចិន,cən
ភ្ជិត,pcɨt
កណ្ដូប,kɑndoop
រហើប,rɔhaəp
ព្រាម,priem
បូត,boot
បញ្ចប់,bɑɲcɑp
បុញ្ញរាសី,boɲɲaʔriesəy
មុត,mut
ពាំ,poam
សកម្មភាព,saʔkammeaʔpʰiep
ហ៊ិះ,hih
ឈប់,cʰup
អនុញ្ញាត,ʔaʔnuɲɲaat
ប៉ុណ្ណោះ,ponnɑh
អាចារ,ʔaacaa
គោង,kooŋ
ញ៉ែងញ៉ង,ɲaeŋ-ɲɑɑŋ
យាម,yiem
ភ្លយ,plɔɔy
ប្រាណ,praan
ជំរិត,cumrɨt
ឫក្ស,rɨk
កន្លែង,kɑnlaeŋ
ផាឌិប,pʰaa dɨp
ចក់,cɑk
ដក់,dɑk
ចម្រៀង,cɑmriəŋ
ពុទ្ធរូប,puttʰeaʔruup
រំខាន,rumkʰaan
ក្បាន,kbaan
០,0
ពុំងា,pumŋie
ខុន,kʰon
ហេវ,heɛv
ក្លាំ,klam
ចតុ,caʔtoʔ
បង្អូន,bɑŋʔoon
សុជាត,soʔciet
ធ្លោ,tloo
សុទ្ធ,sot
ច្រង់,crɑŋ
យីកេ,yii keɛ
គំនាល់,kumnoal
យ៉ៃ,yay
ផ្ទី,ptii
សេទោ,seɛtoo
ប្រាសាទ,praasaat
ត្រួយ,truəy
ផុង,pʰoŋ
ត្រសុំ,trɑsom
សគ្គ,sakkeaʔ
ល្វក់,lvɔǝk
ត្រឹង,trəŋ
ឡឹប,lǝp
សង្សារ,sɑŋsaa
ចំបើង,cɑmbaəŋ
ទោណ,toon
យស,yʊəh
ជីងចក់,ciiŋ cɑk
សប្បុរិស,sappoʔreʔsaʔ
ប្រពន្ធ,prɑpʊən
ស្រងូត,srɑŋoot
ជង,cɔɔŋ
បោក្ខរណី,baokkʰaʔraʔnəy
សស្រាំ,sɑsram
ទ្រើង,trəəŋ
លស់,lɔǝh
សរ,sɑɑ
សម្បជញ្ញៈ,sampaʔcʊəɲɲeaʔ
កិង,kəŋ
អវសាន,ʔaʔveaʔsaan
ភ្នែក,pnɛɛk
ថ្កុំថ្កើង,tkom-tkaəŋ
សង្គាយនា,sɑŋkieyeaʔnie
រមៀត,rɔmiət
ក្រឡាច់,krɑlac
ស្បើម,sbaǝm
ផ្ដន្ទា,pdɑn tie
រញ៉ាំរញ៉ូវ,rɔɲam-rɔɲəv
ល្បី,lbǝy
ភ្លេង,pleeŋ
ឆែប,cʰaep
សុធម្មា,soʔtʰoammie
កន្លះ,kɑnlah
បង្គាប់,bɑŋkoap
ទំពា,tumpie
ពួក,puək
បណ្ដាល,bɑndaal
អម,ʔɑɑm
ពិនិត្យ,piʔnit
រដ្ឋប្រហារ,roattʰaʔprɑhaa
អ៊ូច,ʔuuc
បុព្វោ,boppoo
សៀ,siǝ
ទើស,təəh
បម្រះ,bɑmrah
គ្រវាត់,krɔvoat
ស្នុំ,snom
សៃយ,say
អរុណ,ʔaʔrun
សន្លាង,sɑnlaaŋ
ពោរ,poo
ពន្លឹក,pʊənlɨk
ស្ពាន់,spoan
សារណា,saaraʔnaa
ចត្វា,catvaa
ខិង,kʰəŋ
ប្រមាទ,prɑmaat
សាសព្ទ,saasap
មិគសិរ,miʔkeaʔseɛ
ម្សាញ់,msaɲ
រ៉េវ,reɛv
ត្រាក់ទ័រ,traktoa
ឧបទ្រព,ʔuʔpaʔtrup
ឧបរាជ,ʔuʔpaʔraac
វៀតមិញ,viət mɨɲ
រតាយ,rɔtaay
ជេរ,cee
