orth,pron_no_tones,pron_with_tones
ຂຸມ,kʰum,kʰum˩˧
ຜ້ານກາງ,pʰaːnkaːŋ,pʰaːn˧˩kaːŋ
ພາສິດ,pʰasit,pʰa˧˥sit˧˥
ຄວາມເວົ້າ,kʰwaːmwao,kʰwaːm˧˥wao˥˨
ບຸກຄະລິກພາບ,bukkʰalikpʰaːp,buk˧˥kʰa˧lik˧pʰaːp˥˨
ກ່ອງ,kɔːŋ,kɔːŋ˧
ຈັ້ດ,t͡ɕat,t͡ɕat˧
ແດງ,dɛːŋ,dɛːŋ
ໃຕ້,taj,taj˥˨
ຫວ່າງພູ,waːŋpʰuː,waːŋ˧pʰuː˧˥
ປະເດັນ,paden,pa˧˥den
ມີອາຊີບ,miːaːsiːp,miː˧˥aːsiːp˥˨
ເປັນຫຍັງ,penɲaŋ,penɲaŋ˩˧
ມ້າ,maː,maː˥˨
ມິນ,min,min˧˥
ຊຶ້,sɯː,sɯː˥˨
ທັບ,tʰap,tʰap˧
ຊືນ,sɯːn,sɯːn˧˥
ຂາມປ້ອມ,kʰaːmpɔːm,kʰaːm˩˧pɔːm˥˨
ສີໄຄ,siːkʰaj,siː˩˧kʰaj˧˥
ປາລີ,paːliː,paːliː˧˥
ປະທຸມ,patʰum,pa˧˥tʰum˧˥
ບ່ວງ,buaːŋ,buaːŋ˧
ດູແລ,duːlɛː,duːlɛː˧˥
ຊໍ້,sɔː,sɔː˥˨
ກອດ,kɔːt,kɔːt˧˩
ຄວາມໄຂ້,kʰwaːmkʰaj,kʰwaːm˧˥kʰaj˧˩
ສະທ້ານ,satʰaːn,sa˧˥tʰaːn˥˨
ດົ້ງ,doŋ,doŋ˥˨
ຫນາດ,naːt,naːt˧˩
ການຄອບຄອງ,kaːnkʰɔːpkʰɔːŋ,kaːnkʰɔːp˥˨kʰɔːŋ˧˥
ດັ້ງ,daŋ,daŋ˥˨
ເຊົ່າ,sao,sao˧
ນາວ,naːo,naːo˧˥
ສມີ,samiː,sa˧˥miː˩˧
ມຸກດາຫານ,mukdaːhaːn,muk˧daːhaːn˩˧
ພະອົງ,pʰaoŋ,pʰa˧oŋ
ຈີກ,t͡ɕiːk,t͡ɕiːk˧˩
ປີ້ງ,piːŋ,piːŋ˥˨
ຂວັນ,kʰwaːn,kʰwaːn˩˧
ສະບັດ,sabat,sa˧˥bat˧˥
ຈາຣິກ,t͡ɕaːrik,t͡ɕaːrik˧
ເສະ,se,se˧˥
ລວງ,luaːŋ,luaːŋ˧˥
ຄຳອ້າງ,kʰamaːŋ,kʰam˧˥aːŋ˥˨
ຍູ,ɲuː,ɲuː˧˥
ກຳພ້າ,kampʰaː,kampʰaː˥˨
ດາ,daː,daː
ສູບ,suːp,suːp˧˩
ຍັງບໍ່,ɲaŋbɔː,ɲaŋ˧˥bɔː˧
ນຶກ,nɯk,nɯk˧
ໃຝ່,faj,faj˧
ມີເຫດຜົນ,miːheːtpʰon,miː˧˥heːt˧˩pʰon˧˩
ປະເພນີ,papʰeːniː,pa˧˥pʰeː˧˥niː˧˥
ຫວາດ,waːt,waːt˧˩
ຟຸດ,fut,fut˧
ເມາະ,mɔ,mɔ˧
ວັນເວລາ,wanweːlaː,wan˧˥weː˧˥laː˧˥
ບໍ່ເຖິງ,bɔːtʰəŋ,bɔː˧tʰəŋ˩˧
ກະດົ້ງ,kadoŋ,ka˧˥doŋ˥˨
ຊູ້,suː,suː˥˨
ລຽບລຽງ,liaːpliaːŋ,liaːp˥˨liaːŋ˧˥
ກື,kɯː,kɯː
ວິມານ,wimaːn,wi˧maːn˧˥
ແຕ່ງງານ,tɛːŋŋaːn,tɛːŋ˧ŋaːn˧˥
ຍຸດ,ɲut,ɲut˧
ຫລ່ຽມ,liaːm,liaːm˧
ຮອງທ້ອງ,hɔːŋtʰɔːŋ,hɔːŋ˧˥tʰɔːŋ˥˨
ຄົນນອກ,kʰonnɔːk,kʰon˧˥nɔːk˥˨
ຂາກ,kʰaːk,kʰaːk˧˩
ລີລາ,liːlaː,liː˧˥laː˧˥
ແກ້ຮ້ອນ,kɛːhɔːn,kɛː˥˨hɔːn˥˨
ມັກຈະ...ສ່ວນມາກ,makt͡ɕa...suaːnmaːk,mak˧t͡ɕa˧˥...suaːn˧maːk˥˨
ລະອອງ,laɔːŋ,la˧ɔːŋ
ອິນທີ,intʰiː,intʰiː
ຄັບ,kʰap,kʰap˧
ແມ່ເຫລັກ,mɛːlek,mɛː˧lek˧˥
ຮີບ,hiːp,hiːp˥˨
ພາວະ,pʰaːwa,pʰaː˧˥wa˧
ອຸ້ມ,um,um˥˨
ວັຈ,wiaːŋ,wiaːŋ˧
ຜົວ,pʰuaː,pʰuaː˩˧
ມໍຣະສຸມ,mɔːrasum,mɔː˧˥ra˧sum˩˧
ມອບ,mɔːp,mɔːp˥˨
ລໍ,lɔː,lɔː˧˥
ລົກ,lok,lok˧
ສລອງ,salɔːŋ,sa˧˥lɔːŋ˩˧
ໂດດ,doːt,doːt˧˩
ໂທສ,tʰuaːŋ,tʰuaːŋ˥˨
ມຶນ,mɯn,mɯn˩˧
ເພສ,pʰuaːŋ,pʰuaːŋ˧
ອັນດັບ,andap,andap˧˥
ຣັຊ,raːtsadɔːn,raːt˥˨sa˧˥dɔːn
ປອງດອງ,pɔːŋdɔːŋ,pɔːŋdɔːŋ
ເກສອນ,keːsɔːn,keːsɔːn˩˧
ກະໂພກ,kapʰoːk,ka˧˥pʰoːk˥˨
ວະຈະ,wat͡ɕana,wa˧t͡ɕa˧˥na˧
ຮ່ອມ,hɔːm,hɔːm˧
ໂຢະ,jo,jo˧˥
ຄັ້ງ,kʰaŋ,kʰaŋ˥˨
ຫລອດສຽງ,lɔːtsiaːŋ,lɔːt˧˩siaːŋ˩˧
ສີສວັນ,siːsawan,siː˩˧sa˧˥wan˩˧
ຄວາມເຂົ້າໃຈ,kʰwaːmkʰaot͡ɕaj,kʰwaːm˧˥kʰao˧˩t͡ɕaj
ອັນຊະລີ,ansaliː,ansa˧liː˧˥
ຮາດ,haːt,haːt˥˨
ຕຳແຍ,tamɲɛː,tamɲɛː˧˥
ຖນົນ,tʰanon,tʰa˧˥non˩˧
ໂຮງລະຄອນ,hoːŋlakʰɔːn,hoːŋ˧˥la˧kʰɔːn˧˥
ຊາຕິ,saːti,saː˧˥ti˧˥
ເຫງືອກ,ŋɯːə̯k,ŋɯːə̯k˧˩
ວິນາທີ,winaːtʰiː,wi˧naː˧˥tʰiː˧˥
ຄຳເຊີນ,kʰamsəːn,kʰam˧˥səːn˧˥
ເຄື່ອງໃນ,kʰɯːə̯ŋnaj,kʰɯːə̯ŋ˧naj˧˥
ເຂັມ,kʰem,kʰem˩˧
ຕ້ອງໃຈ,tɔːŋt͡ɕaj,tɔːŋ˥˨t͡ɕaj
ແມ່ນ,mɛːn,mɛːn˧
ສຳເພົາ,sampʰu,sam˩˧pʰu˧˥
ອັນຍະ,anɲa,anɲa˧
ແອດ,ɛːt,ɛːt˧˩
ລ້າວ,laːo,laːo˥˨
ເສຶ້ອ,sɯːə̯,sɯːə̯˧˩
ການກະເສດ,kaːnkaseːt,kaːnka˧˥seːt˧˩
ຊີມ,siːm,siːm˧˥
ບໍ່ເຫັນ,bɔːhen,bɔː˧hen˩˧
ເຄຫະ,kʰeːhaː,kʰeː˧˥haː˧˥
ດວງໃຈ,duaːŋt͡ɕaj,duaːŋt͡ɕaj
ຂອງຫລິ້ນ,kʰɔːŋlin,kʰɔːŋ˩˧lin˧˩
ສານປະກອບ,saːnpakɔːp,saːn˩˧pa˧˥kɔːp˧˩
ໄຮ້,haj,haj˥˨
ຄູ່ຄວນ,kʰuːkʰuaːn,kʰuː˧kʰuaːn˧˥
ໂຮເຕັນ,hoːten,hoː˧˥ten
ແຖວ,tʰɛːw,tʰɛːw˩˧
ເຄົ່າ,kʰao,kʰao˧
ຄວາມປະສົງ,kʰwaːmpasoŋ,kʰwaːm˧˥pa˧˥soŋ˩˧
໔,4,4
ຂາງ,kʰaːŋ,kʰaːŋ˩˧
ເປົາ,pao,pao
ຊາມາ,saːmaː,saː˧˥maː˧˥
ໃຫມ່,maj,maj˧
ມະເຮັງ,maheŋ,ma˧heŋ˧˥
ໃຫ້ຄວາມສະດວກ,hajkʰwaːmsaduaːk,haj˧˩kʰwaːm˧˥sa˧˥duaːk˧˩
ສົມເຫດສົມຜົນ,somheːtsompʰon,som˩˧heːt˧˩som˩˧pʰon˩˧
ລອນດອນ,lɔːndɔːn,lɔːn˧˥dɔːn
ນອນ,nɔːn,nɔːn˧˥
ບ່າ,baː,baː˧
ຕ້າງ,taːŋ,taːŋ˥˨
ຜູ້ນຳ,pʰuːnam,pʰuː˧˩nam˧˥
ອຸບປະມາ,uppamaː,up˧˥pa˧˥maː˧˥
ຕະກຽງ,takiaːŋ,ta˧˥kiaːŋ
ຍອດ,ɲɔːt,ɲɔːt˥˨
ກຸລ,kuaːm,kuaːm
ຈັ່ງບຸນ,t͡ɕaŋbun,t͡ɕaŋ˧bun
ລົ້ວ,luaː,luaː˥˨
ສັງເກດ,saŋkeːt,saŋ˩˧keːt˧˩
ຖ້ຽວ,tʰiaːw,tʰiaːw˧˩
ສຸຣາ,suraː,su˧˥raː˧˥
ສຸພາ,supʰaː,su˧˥pʰaː˧˥
ເຄື່ອງເພັດ,kʰɯːə̯ŋpʰet,kʰɯːə̯ŋ˧pʰet˧
ຖ້ຳ,tʰam,tʰam˧˩
ຕາມໃຈ,taːmt͡ɕaj,taːmt͡ɕaj
ຈາດ,t͡ɕaːt,t͡ɕaːt˧˩
ປາໂມກ,paːmoːk,paːmoːk˥˨
ສນັບ,sanap,sa˧˥nap˧˥
ໄຫວ້,waj,waj˩˧
ຈັກຂຸ,t͡ɕakkʰu,t͡ɕak˧˥kʰu˧˥
ຜະລິ,pʰali,pʰa˧˥li˧
ແກບ,keːp,keːp˧˩
ກະປິ,kapi,ka˧˥pi˧˥
ການທູດ,kaːntʰuːt,kaːntʰuːt˥˨
ຫັດຖະ,hattʰa,hat˧˥tʰa˧˥
ຢູ່ຫ່າງ,juːhaːŋ,juː˧haːŋ˧
ໂມໂຫ,moːhoː,moː˧˥hoː˩˧
ຖາປະນາ,tʰaːpanaː,tʰaː˩˧pa˧˥naː˧˥
ນິເທດ,nitʰeːt,ni˧tʰeːt˥˨
ທຸຣະ,tʰura,tʰu˧ra˧
ຫນ້າດິນ,naːdin,naː˧˩din
ຊຸ້ມ,sum,sum˥˨
ຂີ້,kʰiː,kʰiː˧˩
ເມັຽ,miaː,miaː˧˥
ບັ້ນ,ban,ban˥˨
ເຂົ້າໃຈ,kʰaot͡ɕaj,kʰao˧˩t͡ɕaj
ຍູງ,ɲuːŋ,ɲuːŋ˧˥
ໄວ້,waj,waj˥˨
ຮາວີ,haːwiː,haː˧˥wiː˧˥
ຟູມ,fuːm,fuːm˧˥
ກຳແພງ,kampʰɛːŋ,kampʰɛːŋ˧˥
ສີໃສ,siːsaj,siː˩˧saj˩˧
ວັຍ,wiaːŋ,wiaːŋ˧
ຍັງ,ɲaŋ,ɲaŋ˧˥
ໄຂ,kʰaj,kʰaj˩˧
ຜູ້ຢືມ,pʰuːjɯːm,pʰuː˧˩jɯːm
ຄວາມແກ່ເຖົ້າ,kʰwaːmkɛːtʰao,kʰwaːm˧˥kɛː˧tʰao˧˩
ກະສິກອນ,kasikɔːn,ka˧˥si˧˥kɔːn
ເຂົ້າພັນສາ,kʰaopʰansaː,kʰao˧˩pʰan˧˥saː˩˧
ສະພາ,sapʰaː,sa˧˥pʰaː˧˥
ຈົນ,t͡ɕon,t͡ɕon
ໄມ້ດູ່,majdu,maj˥˨du˧
ສົກ,sok,sok˧˥
ຝືດເຄືອງ,fɯːtkʰɯːə̯ŋ,fɯːt˧˩kʰɯːə̯ŋ˧˥
ວິສ,wiaːŋ,wiaːŋ˧
ຍຸດຕິ,ɲutti,ɲut˧ti˧˥
ຄົນເຝົ້າປະຕູ,kʰonfaopatuː,kʰon˧˥fao˧˩pa˧˥tuː
ຍໍ,ɲɔː,ɲɔː˧˥
ເປົ່າ,pao,pao˧
ທ່າວ,tʰaːo,tʰaːo˧
ມາດາ,maːdaː,maː˧˥daː
ຟັ່ງ,faŋ,faŋ˧
ຄວາມຕ້ານທານ,kʰwaːmtaːntʰaːn,kʰwaːm˧˥taːn˥˨tʰaːn˧˥
ຂີ້ເຫລັກ,kʰiːlek,kʰiː˧˩lek˧˥
ຮ້າງ,haːŋ,haːŋ˥˨
ຍັບ,ɲap,ɲap˧
ຄຳໃຫ້ການ,kʰamhajkaːn,kʰam˧˥haj˧˩kaːn
ປາກຊ່ອງ,paːlsɔːŋ,paːl˧˩sɔːŋ˧
ປານໃດ,paːndaj,paːndaj
ກົງ,koŋ,koŋ
ກວານ,kwaːn,kwaːn
ກະບຸງ,kabuŋ,ka˧˥buŋ
ກວຽນ,kwiaːn,kwiaːn
ຜານ,pʰaːn,pʰaːn˩˧
ມັດທະຍັດ,mattʰaɲat,mat˧tʰa˧ɲat˧
ຄະລຳ,kʰalam,kʰa˧lam˧˥
ຝ້າ,faː,faː˧˩
ບໍ່ຮູ້,bɔːhuː,bɔː˧huː˥˨
ອະມອນ,amɔːn,a˧˥mɔːn˧˥
ສະໂກ,sakoː,sa˧˥koː
ສະແຕກ,satɛːk,sa˧˥tɛːk˧˩
ການຮຽນ,kaːnhiaːn,kaːnhiaːn˧˥
ຄູ,kʰuː,kʰuː˧˥
ຕ້ອງຫາ,tɔːŋhaː,tɔːŋ˥˨haː˩˧
ຖໍ່,tʰɔː,tʰɔː˧
ຊະຕາ,sataː,sa˧taː
ປຸ່ມ,pum,pum˧
ວອດ,wɔːt,wɔːt˥˨
ມືດ,mɯːt,mɯːt˥˨
ຕັບ,tap,tap˧˥
ເກີ້,kə,kə˥˨
ກະຈົກ,kat͡ɕok,ka˧˥t͡ɕok˧˥
ເຄມີ,kʰeːmiː,kʰeː˧˥miː˧˥
ສະກຸນ,sakun,sa˧˥kun
ລັນ,lan,lan˧˥
ມາໄລ,maːlaj,maː˧˥laj˧˥
ຮັບຜົນ,happʰon,hap˧pʰon˩˧
ອຶດ,ɯt,ɯt˧˥
ຈ່າວ,t͡ɕaːo,t͡ɕaːo˧
ໂປ,poː,poː
ດື່ມ,dɯːm,dɯːm˧
ທາຣຸນ,tʰaːrun,tʰaː˧˥run˧˥
ມີກຳໄລ,miːkamlaj,miː˧˥kamlaj˧˥
ເພາະ,pʰɔ,pʰɔ˧
ເຊ,seː,seː˧˥
ຫົວລ້ຽວ,huaːliaːw,huaː˩˧liaːw˥˨
ຕະກູນ,takuːn,ta˧˥kuːn
ພົງ,pʰoŋ,pʰoŋ˧˥
ກວງ,kuaːŋ,kuaːŋ
ໂຊດາ,soːdaː,soː˧˥daː
ບົທ,buaːt,buaːt˧˩
ໂຈນ,t͡ɕoːn,t͡ɕoːn
ຮອນ,hɔːn,hɔːn˧˥
ເດີ້,deː,deː˥˨
ກົດລະບຽບ,kotlabiaːp,kot˧˥la˧biaːp˧˩
ວັຕ,wiaːtnaːm,wiaːt˥˨naːm˧˥
ຈະ,t͡ɕa,t͡ɕa˧˥
ປະກຳ,pakam,pa˧˥kam
ແມນ,mɛːn,mɛːn˧˥
ປຸນ,pun,pun
ຢອດ,jɔːt,jɔːt˧˩
ຂາດສະຕິ,kʰaːtsati,kʰaːt˧˩sa˧˥ti˧˥
ຕາມຕົວອັກສອນ,taːmtuaːaksɔːn,taːmtuaːak˧˥sɔːn˩˧
ຄໍ່,kʰɔː,kʰɔː˧
ອຶດໃຈ,ɯtt͡ɕaj,ɯt˧˥t͡ɕaj
ຄວາມສລາດ,kʰwaːmsalaːt,kʰwaːm˧˥sa˧˥laːt˧˩
ຫວິດ,wit,wit˧˥
ຂອງທີ່ລະລຶກ,kʰɔːŋtʰiːlalɯk,kʰɔːŋ˩˧tʰiː˧la˧lɯk˧
ຊຳ,sam,sam˧˥
ເວັນ,wen,wen˧˥
ໂຕ່ງ,toːŋ,toːŋ˧
ຫາກໍ,haːkɔː,haː˩˧kɔː
ສັນຍາ,sanɲaː,san˩˧ɲaː˧˥
ລົວ,luaː,luaː˧˥
ຈັກຄາວ,t͡ɕakkʰaːo,t͡ɕak˧˥kʰaːo˧˥
ພຽງຄັ້ງດຽວ,pʰiaːŋkʰaŋdiaːw,pʰiaːŋ˧˥kʰaŋ˧˥diaːw
ຫລຽນ,liaːn,liaːn˩˧
ສາໂທ,saːtʰoː,saː˩˧tʰoː˧˥
ແນ,nɛː,nɛː˧˥
ເກືອບ,kɯːə̯p,kɯːə̯p˧˩
ຕິ,ti,ti˧˥
ຍຸບຍອບ,ɲupɲɔːp,ɲup˧ɲɔːp˥˨
ຟ່າງ,faːŋ,faːŋ˧
ການບັນຈຸ,kaːnbant͡ɕu,kaːnbant͡ɕu˧˥
ຫົວຄ່ຳ,huaːkʰam,huaː˩˧kʰam˧
ປູ,puː,puː
ໄຫມ,maj,maj˩˧
ອັນເຊີນ,ansəːn,ansəːn˧˥
ສື່,sɯː,sɯː˧
ແລກ,lɛːk,lɛːk˥˨
ຕ່ຳ,tam,tam˧
ອໍຣະ,ɔːra,ɔːra˧
ຮັບປະກັນ,happakan,hap˧pa˧˥kan
ຄົນແປກຫນ້າ,kʰonpɛːknaː,kʰon˧˥pɛːk˧˩naː˧˩
ກະຊັງ,kasaŋ,ka˧˥saŋ˧˥
ຍວນ,ɲuaːn,ɲuaːn˧˥
ນີ້ແລ້ວ,niːlɛːw,niː˥˨lɛːw˥˨
ສະມາທານ,samaːtʰaːn,sa˧˥maː˧˥tʰaːn˧˥
ບອນ,bɔːn,bɔːn
ສວດ,suaːt,suaːt˧˩
ອາໂລກະ,aːloːka,aːloː˧˥ka˧˥
ມະນຸດ,manut,ma˧nut˧
ເຄື່ອງເອ້,kʰɯːə̯ŋeː,kʰɯːə̯ŋ˧eː˥˨
ຍາດ,ɲaːt,ɲaːt˥˨
ຊີ້ຂາດ,siːkʰaːt,siː˥˨kʰaːt˧˩
ສະເມັກ,samek,sa˧˥mek˧
ສະຈີ,sat͡ɕiː,sa˧˥t͡ɕiː
ກິນໃຈ,kint͡ɕaj,kint͡ɕaj
ສ້ານ,saːn,saːn˧˩
ຫນາວ,naːo,naːo˩˧
ສາບານ,saːbaːn,saː˧˥baːn
ຊີ່,siː,siː˧
ຄຳຫາ,kʰamhaː,kʰam˧˥haː˩˧
ກີລາ,kiːlaː,kiːlaː˧˥
ຫາເງິນ,haːŋən,haː˩˧ŋən˧˥
ຖູ,tʰuː,tʰuː˩˧
ຕັກເຕືອນ,taktɯːə̯n,tak˧˥tɯːə̯n
ໂກດ,koːt,koːt˧˩
ຄຶດ,kʰɯt,kʰɯt˧
ສໄລ,salaj,sa˧˥laj˩˧
ເປັນດອກ,pendɔːk,pendɔːk˧˩
ວິສາຂະບູຊາ,wisaːkʰabuːsaː,wi˧saː˩˧kʰa˧˥buːsaː˧˥
ເຈດີ,t͡ɕeːdiː,t͡ɕeːdiː
ຕົກຕະລຶງ,toktalɯŋ,tok˧˥ta˧˥lɯŋ˧˥
ຢາງ,jaːŋ,jaːŋ
ຕາ,taː,taː
ໂປ່,poː,poː˧
ຫມຸ້ນ,mun,mun˩˧
ເປັນລົມ,penlom,penlom˧˥
ຊຽງ,siaːŋ,siaːŋ˧˥
ຂົວ,kʰuaː,kʰuaː˩˧
ແວງ,wɛːŋ,wɛːŋ˧˥
ລະມັດລະວັງ,lamatlawaŋ,la˧mat˧la˧waŋ˧˥
ເພີ້ຝັນ,pʰəːfan,pʰəː˥˨fan˩˧
ບອດ,bɔːt,bɔːt˧˩
ອາຊາ,aːsaː,aːsaː˧˥
ສັນຕິພາບ,santipʰaːp,san˩˧ti˧˥pʰaːp˥˨
ປະດິດ,padit,pa˧˥dit˧˥
ປະປົນ,papon,pa˧˥pon
ຈາງ,t͡ɕaːŋ,t͡ɕaːŋ
ລາມ,laːm,laːm˧˥
ບໍ່ປ່ຽນ,bɔːpiaːn,bɔː˧piaːn˧
ຈະຣວດ,t͡ɕaruaːt,t͡ɕa˧˥ruaːt˧˩
ໂສມະນັດ,soːmanat,soː˩˧ma˧nat˧
ສົ່ງສານ,soŋsaːn,soŋ˧saːn˩˧
ຮັບທຸກ,haptʰuk,hap˧tʰuk˧
ຄວານ,kʰwaːn,kʰwaːn˧˥
ໂຈ້,t͡ɕoː,t͡ɕoː˥˨
ທາງ,tʰaːŋ,tʰaːŋ˧˥
ຫີ,hiː,hiː˩˧
ພົມມະບຸດ,pʰommabut,pʰom˧˥ma˧but˧˥
ຄຸກ,tʰuk,tʰuk˧
ບໍ່ສເມີ,bɔːsaməː,bɔː˧sa˧˥məː˩˧
ຊູ,suː,suː˧˥
ໄລ່,laj,laj˧
ຕານ,taːn,taːn
ຊິງ,siŋ,siŋ˧˥
ຟຸ້ງ,fuŋ,fuŋ˥˨
ວັດທະນະ,wattʰana,wat˧tʰa˧na
ວ່າຊັ້ນ,waːsan,waː˧san˥˨
ດິ້ງ,diŋ,diŋ˥˨
ຢ່າງດຽວ,jaːŋdiaːw,jaːŋ˧diaːw
ທີ່ແປນ,tʰiːpɛːn,tʰiː˧pɛːn
ກະດີ,kadiː,ka˧˥diː
ສາລາ,saːlaː,saː˩˧laː˧˥
ຖອນໃຈ,tʰɔːnt͡ɕaj,tʰɔːn˩˧t͡ɕaj
ໄຄ້,kʰaj,kʰaj˥˨
ພິນ,pʰin,pʰin˧˥
ປ້ານ,paːn,paːn˥˨
ງໍ້,ŋɔː,ŋɔː˥˨
ຄົມ,kʰom,kʰom˧˥
ຫນາມ,naːm,naːm˩˧
ການຖືເອົາ,kaːntʰɯːao,kaːntʰɯː˩˧ao
ໂພສີ,pʰoːsi,pʰoː˧˥si˩˧
ຮູ້,huː,huː˥˨
ແລ້ວ,lɛːw,lɛːw˥˨
ເຫັນຈະ,hent͡ɕa,hen˩˧t͡ɕa˧˥
ບໍ່ໄວ້ໃຈ,bɔːwajt͡ɕaj,bɔː˧waj˥˨t͡ɕaj
ບັນຊີ,bansiː,bansiː˧˥
ສ່ວນຮວມ,suaːnhuaːm,suaːn˧huaːm˧˥
ໂມ້,moː,moː˥˨
ສົ້ມໂອ,somoː,som˧˩oː
ມື່ນ,mɯːn,mɯːn˧
ອັນສົມຄວນ,ansomkʰuaːn,ansom˩˧kʰuaːn˧˥
ລັດດາ,latdaː,lat˧daː
ຍາງ,ɲaːŋ,ɲaːŋ˧˥
ອາພາ,aːpʰaː,aːpʰaː˧˥
ຖືກ,tʰɯːk,tʰɯːk˧˩
ໂຫວດ,woːt,woːt˧˩
ຜູ້ແຂ່ງຂັນ,pʰuːkʰɛːŋkʰan,pʰuː˧˩kʰɛːŋ˧kʰan˩˧
ອູ,uː,uː
ໃຄ,kʰaj,kʰaj˧˥
ແນວ,nɛːw,nɛːw˧˥
ມ້ວນ,muaːn,muaːn˥˨
ພິນິດ,pʰinit,pʰi˧nit˧
ກັນຫາ,kanhaː,kanhaː˩˧
ຈະແຈ້ງ,t͡ɕat͡ɕɛːŋ,t͡ɕa˧˥t͡ɕɛːŋ˥˨
ມະຫາອຳນາດ,mahaːamnaːt,ma˧haː˩˧amnaːt˥˨
ພັນທະ,pʰantʰa,pʰan˧˥tʰa˧
ມື,mɯ,mɯ˧˥
ນານາ,naːnaː,naː˧˥naː˧˥
ບໍ່ຫລຸດ,bɔːlut,bɔː˧lut˧˥
ຄິດ,kʰit,kʰit˧
ຊົມຊື່ນ,somsɯːn,som˧˥sɯːn˧
ສັບປະດາ,sappadaː,sap˧˥pa˧˥daː
ມະລາຢູ,malaːjuː,ma˧laː˧˥juː
ຂົ້ວ,kʰuaː,kʰuaː˧˩
ສັນທະນະ,santʰana,san˩˧tʰa˧na˧
ພຽງພໍ,pʰiaːŋpʰɔː,pʰiaːŋ˧˥pʰɔː˧˥
ຢັດ,jat,jat˧˥
ປີສາດ,piːsaːt,piːsaːt˧˩
ຫົວໂປ່,huaːpoː,huaː˩˧poː˧
ກົງສຸນ,koŋsun,koŋsun˩˧
ປິ,pi,pi˧˥
ຕູ່,tuː,tuː˧
ຕັງ,taŋ,taŋ
